County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016,GreenVotes,Total_Votes_Green,LibVotes,Total_Lib_Votes,Total_TP_ExLibGreen,TV_EXLIBGREEN,TV_THIRDPARTY,TP_TV2016_EXLIBGREEN,GreenVotes16,Total_Votes_Green16,LibVotes16,Total_Votes_Lib16,White_Total,White_VA,Hispanic_Total,Hispanic_VA,Black_Total,Black_VA,Asian_Total,Asian_VA,AI_Total,AI_VA,population2017,population2018,population2016,population2019,percentbornNOTCO,percentbornCO,percentbornforeign,MHI_STATE,MHI,CountyDiffMHI,StateHSONLY,StateBAONLY,StateGRAD,StateHSPLUS,StateBAPLUS,CountyHSONLY,CountyBAONLY,CountyGRAD,CountyHSPLUS,CountyBAPLUS
ADAMS,President,134202,1804352,0.554,95657,1364607,0.419,517885,96558,1338870,0.4816,80082,1202484,0.4325,498007,744,8986,3731,52460,2406,26575,88021,4441,2703,38437,9893,144121,0.505369518,0.546366549,0.404961624,0.364794476,0.037173242,0.034654324,0.04562312,0.046848122,0.006872496,0.007336529,503890,511707,498007,517885,0.314273925,0.519341094,0.153074341,72331,71202,-1129,0.214,0.256,0.153,0.917,0.409,0.286,0.165,0.078,0.838,0.243
ALAMOSA,President,3759,1804352,0.554,3813,1364607,0.419,16181,3189,1338870,0.4816,3046,1202484,0.4325,16035,23,8986,90,52460,123,26575,88021,182,117,38437,405,144121,0.495111531,0.521011657,0.457971423,0.43319191,0.017788512,0.017415661,0.011671029,0.012357375,0.017457506,0.016023397,16094,16225,16035,16181,0.296330788,0.602595145,0.090892159,72331,37515,-34816,0.214,0.256,0.153,0.917,0.409,0.285,0.146,0.105,0.869,0.25
ARAPAHOE,President,213607,1804352,0.554,127323,1364607,0.419,656822,159885,1338870,0.4816,117053,1202484,0.4325,638513,926,8986,5423,52460,2904,26575,88021,6279,3829,38437,16002,144121,0.613259828,0.647010132,0.194774138,0.168328531,0.116344934,0.109814362,0.070068563,0.069286731,0.005552537,0.005560243,644088,651710,638513,656822,0.420345662,0.411147139,0.151368375,72331,77469,5138,0.214,0.256,0.153,0.917,0.409,0.208,0.272,0.156,0.926,0.428
ARCHULETA,President,3738,1804352,0.554,5189,1364607,0.419,14002,2500,1338870,0.4816,4264,1202484,0.4325,12843,19,8986,120,52460,78,26575,88021,128,116,38437,331,144121,0.779516979,0.807287075,0.18168693,0.1592891,0.01077828,0.007315008,0.010856902,0.009636956,0.017160909,0.016471862,13314,13734,12843,14002,0.655021505,0.287708443,0.050026409,72331,52221,-20110,0.214,0.256,0.153,0.917,0.409,0.21,0.258,0.114,0.923,0.372
BACA,President,317,1804352,0.554,1867,1364607,0.419,3556,283,1338870,0.4816,1753,1202484,0.4325,3525,3,8986,26,52460,12,26575,88021,48,18,38437,51,144121,0.857515716,0.871249866,0.109255725,0.095702355,0.014818141,0.012401878,0.003760665,0.004229542,0.014649753,0.016416359,3546,3554,3525,3556,0.447627071,0.51670879,0.032294299,72331,35878,-36453,0.214,0.256,0.153,0.917,0.409,0.28,0.155,0.059,0.862,0.214
BENT,President,732,1804352,0.554,1503,1364607,0.419,5798,590,1338870,0.4816,1188,1202484,0.4325,5637,6,8986,15,52460,18,26575,88021,46,20,38437,83,144121,0.57303777,0.574550621,0.325563695,0.311824804,0.074569499,0.08466587,0.010978974,0.011705271,0.015850062,0.017253434,5834,5819,5637,5798,0.34992224,0.597027821,0.046310696,72331,30900,-41431,0.214,0.256,0.153,0.917,0.409,0.487,0.084,0.03,0.848,0.114
BOULDER,President,159089,1804352,0.554,42501,1364607,0.419,327164,132334,1338870,0.4816,41396,1202484,0.4325,322201,697,8986,2539,52460,1285,26575,88021,2648,3733,38437,8034,144121,0.79080805,0.816027395,0.137483057,0.113747793,0.012847011,0.012153956,0.054290544,0.053310742,0.004571338,0.004760115,323367,325637,322201,327164,0.563263155,0.313540665,0.106644755,72331,83019,10688,0.214,0.256,0.153,0.917,0.409,0.117,0.34,0.281,0.95,0.621
BROOMFIELD,President,29077,1804352,0.554,16295,1364607,0.419,70762,19731,1338870,0.4816,14367,1202484,0.4325,66449,104,8986,772,52460,384,26575,88021,921,497,38437,2174,144121,0.778380883,0.792678229,0.126657655,0.114640467,0.016581851,0.015615365,0.073140933,0.071836103,0.005238678,0.005229836,68182,69591,66449,70762,0.506260496,0.391141031,0.089193648,72331,96416,24085,0.214,0.256,0.153,0.917,0.409,0.145,0.345,0.213,0.969,0.557
CHAFFEE,President,7160,1804352,0.554,6222,1364607,0.419,20361,4888,1338870,0.4816,5391,1202484,0.4325,19116,46,8986,189,52460,101,26575,88021,236,198,38437,537,144121,0.858632273,0.864985198,0.103371503,0.096845345,0.018890224,0.01947672,0.009155776,0.008887095,0.009950224,0.009805642,19661,20063,19116,20361,0.533006085,0.404918955,0.037786982,72331,55771,-16560,0.214,0.256,0.153,0.917,0.409,0.27,0.196,0.142,0.935,0.338
CHEYENNE,President,131,1804352,0.554,993,1364607,0.419,1825,132,1338870,0.4816,925,1202484,0.4325,1854,0,8986,6,52460,6,26575,88021,10,4,38437,31,144121,0.852069705,0.856622999,0.115221813,0.112736536,0.01572206,0.014556041,0.009015447,0.006841339,0.007970975,0.009243086,1856,1857,1854,1825,0.208292201,0.695459033,0.090325765,72331,53977,-18354,0.214,0.256,0.153,0.917,0.409,0.368,0.167,0.025,0.916,0.192
